q,a
High stiffness,316 stainless steel,
High electrical resistivity,316 stainless steel or Titanium,
High machinability,Brass or Copper,
High electrical and thermal conductivity,Copper
Molybdenum,elecrolyte(concentration):NaOH(180 g/l)/NaCL or KCL(300 g/l),
Grey iron,elecrolyte(concentration):NaCl(300 g/l)/NaNo3(600(g/l),
Zirconium,elecrolyte(concentration):NaCL or KCL(300 g/l),
White cast iron,elecrolyte(concentration):NaNo3(600(g/l),
Hardned tool steel,elecrolyte(concentration):NaCIO3(780(g/l),
Titanium,elecrolyte(concentration):NaCL or KCL(120 g/l),
Iron,elecrolyte(concentration):NaNo3(600(g/l)/NaCL or KCL(300 g/l),
Nickel,elecrolyte(concentration):NaNo3(600(g/l)/NaCL or KCL(300 g/l),
Cobalt,elecrolyte(concentration):NaNo3(600(g/l)/NaCL or KCL(300 g/l),
Copper,elecrolyte(concentration):NaNo3(600(g/l)/NaCL or KCL(300 g/l),
Broaching(angle ECM),Feed rate:7.6 mm/min,
Round blind holes,Feed rate:2.2 mm/min,
simply cavity,Feed rate:2.2 mm/min,